kategoria,kierunek,opis kierunku,rekrutacja,specjalności,program studiów
Studia II stopnia stacjonarne,Master In International Business Nowosc,"Master in International Business
Studia magisterskie ogólnomenedżerskie na kierunku Master in International Business (MIB) wykorzystują najlepsze praktyki i doświadczenia w zakresie edukacji, tj. następstwo treści programowych, zintensyfikowanie procesu akumulacji wiedzy i umiejętności, sekwencyjność przedmiotów, warsztatowy, praktyczny charakter zajęć dydaktycznych, wykorzystanie team-working and team competition, learning-by-experiencing, learning-by-doing czy problem-based learning.
Absolwenci studiów na kierunku MIB nabędą wszechstronną, aktualną wiedzę i w szczególności rozwiną w stopniu profesjonalnym umiejętności we wszystkich obszarach, które są niezbędne z punktu widzenia zarządzania organizacją działającą na wysoce nieprzewidywalnych i konkurencyjnych rynkach, w tym na rynku międzynarodowym. Będą one przydatne osobom chcącym nie tylko pełnić rolę specjalistów, a w przyszłości menedżerów średniego i wyższego szczebla, ale także absolwentom, których celem jest rozwijanie własnej działalności gospodarczej.","Master in International Business
O przyjęcie na anglojęzyczne studia drugiego stopnia na kierunek Master in International Business mogą się ubiegać absolwenci publicznych i niepublicznych szkół wyższych, którzy legitymują się dyplomem ukończenia studiów pierwszego stopnia, drugiego stopnia, jednolitych studiów magisterskich lub równorzędnych.
Przyjęcie kandydatów na kierunek Master in International Business odbywa się w kolejności według najwyższej średniej ocen z ukończonych studiów pierwszego stopnia, drugiego stopnia, jednolitych studiów magisterskich lub równorzędnych.
Rekrutacja na rok akademicki 2025/2026 zostanie uruchomiona w kwietniu 2025 roku.
Rekrutacja na studia prowadzone w języku angielskim – dowiedz się więcej .
ZAPISY ONLINE","Master in International Business
Na kierunku Master in International Business nie są oferowane specjalności.","Master in International Business
Szczegółowe programy studiów prowadzonych w Uniwersytecie Ekonomicznym w Poznaniu dostępne są na stronie systemu Sylabus UEP. Programy studiów dla cyklu rozpoczynającego się od roku akademickiego 2025/2026 zostaną opublikowane w kwietniu 2025 roku.
System Sylabus UEP"
Studia II stopnia stacjonarne,Miedzynarodowe Stosunki Gospodarcze,"Międzynarodowe stosunki gospodarcze
Kierunek międzynarodowe stosunki gospodarcze odpowiada współczesnym potrzebom gospodarki światowej i krajowej. Kształcimy menedżerów gotowych do prowadzenia międzynarodowej działalności gospodarczej w duchu zrównoważonego rozwoju i z uwzględnieniem transformacji cyfrowej oraz specjalistów organizacji i instytucji krajowych i międzynarodowych. Zapewniamy rozwój kreatywności i analitycznego myślenia dzięki pracy w zespołach projektowych i wykładom praktyków biznesu.
Profil absolwenta:
menedżerowie, konsultanci, specjaliści prowadzący międzynarodową działalność gospodarczą, specjaliści i kadra zarządzająca w administracji publicznej i organizacjach międzynarodowych.","Międzynarodowe stosunki gospodarcze
O przyjęcie na studia drugiego stopnia na kierunek międzynarodowe stosunki gospodarcze mogą się ubiegać absolwenci publicznych i niepublicznych szkół wyższych, którzy legitymują się dyplomem ukończenia studiów pierwszego stopnia, drugiego stopnia, jednolitych studiów magisterskich lub równorzędnych.
Przyjęcie kandydatów na kierunek międzynarodowe stosunki gospodarcze odbywa się w kolejności według najwyższej średniej ocen z ukończonych studiów pierwszego stopnia, drugiego stopnia, jednolitych studiów magisterskich lub równorzędnych.
Szczegółowe zasady rekrutacji na studia w roku akademickim 2025/2026.
Rekrutacja zostanie uruchomiona po 20 maja 2025 r. – ZAPISZ SIĘ ONLINE","Międzynarodowe stosunki gospodarcze
Na kierunku oferowane są dwie specjalności:
zarządzanie i finanse międzynarodowe, przedsiębiorstwo i dyplomacja gospodarcza w Europie.
Kandydaci ubiegają się o przyjęcie na kierunek studiów. Uruchomienie określonej specjalności zależy od liczby studentów, którzy w trakcie studiów zadeklarują wolę studiowania na danej specjalności.","Międzynarodowe stosunki gospodarcze
Szczegółowe programy studiów prowadzonych w Uniwersytecie Ekonomicznym w Poznaniu dostępne są na stronie systemu Sylabus UEP. Programy studiów dla cyklu rozpoczynającego się od roku akademickiego 2025/2026 zostaną opublikowane w kwietniu 2025 roku.
System Sylabus UEP"
Studia II stopnia stacjonarne,Nadzor I Kontrola Profil Praktyczny,"Nadzór i kontrola
Nadzór i kontrola to kierunek o profilu praktycznym , przygotowujący do pracy w audycie, controlingu finansowym i rachunkowości zarządczej.
Studenci poznają zagadnienia z zakresu rachunkowości i audytu, szczególnie istotne z punktu widzenia problemów i trendów rysujących się we współczesnej gospodarce.
Absolwent będzie posiadał wiedzę zawodową z dziedziny ekonomii i finansów oraz dobrze rozwinięte umiejętności posługiwania się nowoczesnymi metodami nadzoru, kontroli i audytu.
Nowe i zmodyfikowane kierunki na studiach stacjonarnych II stopnia na UEP!","Nadzór i kontrola
O przyjęcie na studia drugiego stopnia na kierunek nadzór i kontrola mogą się ubiegać absolwenci publicznych i niepublicznych szkół wyższych, którzy legitymują się dyplomem ukończenia studiów pierwszego stopnia, drugiego stopnia, jednolitych studiów magisterskich lub równorzędnych.
Przyjęcie kandydatów na kierunek nadzór i kontrola odbywa się w kolejności według największej liczby punktów uzyskanych w postępowaniu rekrutacyjnym, liczonych według wzoru:
70% średnia ocen + 30 % punkty z rozmowy kwalifikacyjnej
gdzie: średnia ocen – oznacza średnią ocen z ukończonych studiów uprawniających do ubiegania się o przyjęcie na kierunek nadzór i kontrola , punkty z rozmowy – oznaczają punkty z rozmowy kwalifikacyjnej weryfikującej wiedzę z obszaru podejmowanych studiów; rozmowa kwalifikacyjna oceniana jest w skali od 2 do 5 punktów.
Wynik zaokrąglony jest do dwóch miejsc po przecinku.

Szczegółowe zasady rekrutacji na studia w roku akademickim 2025/2026.
Rekrutacja zostanie uruchomiona po 20 maja 2025 r. – ZAPISZ SIĘ ONLINE","Nadzór i kontrola,
Na kierunku nadzór i kontrola nie są oferowane specjalności.","Nadzór i kontrola
Szczegółowe programy studiów prowadzonych w Uniwersytecie Ekonomicznym w Poznaniu dostępne są na stronie systemu Sylabus UEP. Programy studiów dla cyklu rozpoczynającego się od roku akademickiego 2025/2026 zostaną opublikowane w kwietniu 2025 roku.
System Sylabus UEP"
Studia II stopnia stacjonarne,Przemysl 4 0,"Przemysł 4.0
Przemysł 4.0 to kierunek obejmujący zagadnienia związane z szeroko rozumianymi nowymi technologiami w ostatnim czasie wprowadzanymi do praktyki biznesowej pod hasłem nowej gospodarki . Zagadnienia te dotyczą praktycznie wszystkich firm, ale szczególnego znaczenia nabierają w przypadku małych i średnich przedsiębiorstw, które w pierwszej kolejności decydują się na wprowadzenie zmian technologicznych i organizacyjnych wynikających z postępu. Firmy takie nie mają wystarczającego zaplecza naukowo-badawczego, które byłoby odpowiedzialne najpierw za przetestowanie, a potem wdrożenie technologii.
Z tego względu kierunek przemysł 4.0 , którego absolwenci będą nie tylko zaznajomieni z możliwościami nowoczesnych technologii, ale także otwarci na nowe rozwiązania i gotowi do poszerzania swojej wiedzy i umiejętności, jest szczególnie interesujący dla rynku pracy.
Studenci studiów drugiego stopnia uzyskują interdyscyplinarną wiedzę dotyczącą szeroko rozumianego zastosowania nowoczesnych technologii i metod biznesowych w gospodarce.","Przemysł 4.0
O przyjęcie na studia drugiego stopnia na kierunek przemysł 4.0 mogą się ubiegać absolwenci publicznych i niepublicznych szkół wyższych, którzy legitymują się dyplomem ukończenia studiów pierwszego lub drugiego stopnia, lub studiów jednolitych magisterskich z dziedziny nauk ścisłych i przyrodniczych, nauk inżynieryjno-technicznych, z dziedziny nauk społecznych w dyscyplinach ekonomia i finanse, nauki o zarządzaniu i jakości, nauki o bezpieczeństwie oraz geografia społeczno-ekonomiczna i gospodarka przestrzenna.
Przyjęcie kandydatów na kierunek przemysł 4.0 odbywa się w kolejności według największej liczby punktów uzyskanych w postępowaniu rekrutacyjnym, liczonych według wzoru:
70% średnia ocen + 30% punkty z rozmowy kwalifikacyjnej
gdzie: średnia ocen – oznacza średnią ocen z ukończonych studiów uprawniających do ubiegania się o przyjęcie na kierunek przemysł 4.0 , punkty z rozmowy – oznaczają punkty z rozmowy kwalifikacyjnej weryfikującej ogólną wiedzę z zakresu nowoczesnych technologii; rozmowa kwalifikacyjna oceniana jest w skali od 2 do 5 punktów.
Wynik zaokrąglony jest do dwóch miejsc po przecinku.

Szczegółowe zasady rekrutacji na studia w roku akademickim 2025/2026.
Rekrutacja zostanie uruchomiona po 20 maja 2025 r. – ZAPISZ SIĘ ONLINE","Przemysł 4.0
Na kierunku przemysł 4.0 nie są oferowane specjalności.","Przemysł 4.0
Szczegółowe programy studiów prowadzonych w Uniwersytecie Ekonomicznym w Poznaniu dostępne są na stronie systemu Sylabus UEP. Programy studiów dla cyklu rozpoczynającego się od roku akademickiego 2025/2026 zostaną opublikowane w kwietniu 2025 roku.
System Sylabus UEP"
Studia II stopnia stacjonarne,Quantitative Finance,"Quantitative Finance (finanse ilościowe) to dziedzina nowoczesnych finansów zajmująca się zastosowaniem metod ilościowych do analiz związanych z inwestycjami finansowymi oraz prognozowaniem rynków finansowych. Program studiów obejmuje metody statystyczne i ilościowe używane w sektorze finansowym, które mogą być też  zastosowane w innych dziedzinach gospodarki.
Absolwenci programu mogą znaleźć zatrudnienie w sektorze bankowym i finansowym. Nabyte podczas studiów umiejętności umożliwiają im również znalezienie zatrudnienia w charakterze analityków w innych dziedzinach gospodarki. Cztery główne filary programu to: zarządzanie ryzykiem, finanse przedsiębiorstw, wycena instrumentów finansowych oraz metody statystyczne.
Kierunek posiada afiliację CFA Institute.","O przyjęcie na anglojęzyczne studia drugiego stopnia prowadzone na kierunku Quantitative Finance mogą się ubiegać absolwenci studiów pierwszego lub drugiego stopnia, lub studiów jednolitych magisterskich, lub równorzędnych na kierunkach z dziedziny nauk społecznych, nauk ścisłych i przyrodniczych lub nauk inżynieryjno-technicznych.
Przyjęcie kandydatów na kierunek Quantitative Finance odbywa się w kolejności według najwyższej średniej ocen z ukończonych studiów pierwszego stopnia, drugiego stopnia, jednolitych studiów magisterskich lub równorzędnych.
Rekrutacja na rok akademicki 2025/2026 zostanie uruchomiona w kwietniu 2025 roku.
Rekrutacja na studia prowadzone w języku angielskim – dowiedz się więcej .
ZAPISY ONLINE",Na kierunku Quantitative Finance nie są oferowane specjalności.,"Szczegółowe programy studiów prowadzonych w Uniwersytecie Ekonomicznym w Poznaniu dostępne są na stronie systemu Sylabus UEP. Programy studiów dla cyklu rozpoczynającego się od roku akademickiego 2025/2026 zostaną opublikowane w kwietniu 2025 roku.
System Sylabus UEP"
Studia II stopnia stacjonarne,Rachunkowosc I Finanse Biznesu,"Rachunkowość i finanse biznesu
Kierunek rachunkowość i finanse biznesu na studiach drugiego stopnia umożliwia studentom nabycie poszerzonej wiedzy z zakresu rachunkowości i finansów w biznesie, w tym przede wszystkim z zakresu zarządzania finansami przedsiębiorstwa, rachunkowości finansowej oraz zarządczej, obszaru płynności i wiarygodności finansowej, controllingu, inwestycji kapitałowych, restrukturyzacji finansowej przedsiębiorstw, strategii podatkowych oraz specyfiki funkcjonowania grup kapitałowych.
Studenci nabywają umiejętności oceny konsekwencji finansowych zdarzeń gospodarczych, przeprowadzania analiz działalności gospodarczej, oceny opłacalności przedsięwzięć inwestycyjnych, rewizji sprawozdań finansowych, wyboru optymalnych kierunków inwestowania w aktywa rzeczowe oraz papiery wartościowe, a także podejmowania decyzji finansowych.
Absolwent studiów drugiego stopnia jest przygotowany do podjęcia pracy na samodzielnych stanowiskach zarówno w typowych przedsiębiorstwach, jak i firmach usługowych, takich jak np. biura rachunkowe, firmach doradczych, a także w instytucjach finansowych.","Rachunkowość i finanse biznesu
O przyjęcie na studia drugiego stopnia na kierunek rachunkowość i finanse biznesu mogą się ubiegać absolwenci publicznych i niepublicznych szkół wyższych, którzy legitymują się dyplomem ukończenia studiów pierwszego stopnia, drugiego stopnia, jednolitych studiów magisterskich lub równorzędnych.
Przyjęcie kandydatów na kierunek rachunkowość i finanse biznesu odbywa się w kolejności według najwyższej średniej ocen z ukończonych studiów pierwszego stopnia, drugiego stopnia, jednolitych studiów magisterskich lub równorzędnych.
Szczegółowe zasady rekrutacji na studia w roku akademickim 2025/2026.
Rekrutacja zostanie uruchomiona po 20 maja 2025 r. – ZAPISZ SIĘ ONLINE","Rachunkowość i finanse biznesu
Na kierunku oferowane są trzy specjalności:
finanse i rachunkowość przedsiębiorstw, inwestycje kapitałowe i strategie finansowe przedsiębiorstwa, rachunkowość i zarządzanie finansami ACCA – specjalność z akredytacją ACCA .
Kandydaci ubiegają się o przyjęcie na kierunek studiów. Uruchomienie określonej specjalności zależy od liczby studentów, którzy w trakcie studiów zadeklarują wolę studiowania na danej specjalności.","Rachunkowość i finanse biznesu
Szczegółowe programy studiów prowadzonych w Uniwersytecie Ekonomicznym w Poznaniu dostępne są na stronie systemu Sylabus UEP. Programy studiów dla cyklu rozpoczynającego się od roku akademickiego 2025/2026 zostaną opublikowane w kwietniu 2025 roku.
System Sylabus UEP"
Studia II stopnia stacjonarne,Rewizja Finansowa,"Kierunek rewizja finansowa wychodzi naprzeciw potrzebom i zmianom zachodzącym na rynku pracy. Na kierunku kształceni są poszukiwani na rynku biegli rewidenci – specjaliści w zakresie przeprowadzania badania jednostkowych i skonsolidowanych sprawozdań finansowych jednostek gospodarczych, w tym banków ubezpieczycieli, towarzystw i funduszy inwestycyjnych oraz emerytalnych, a także jednostek samorządu terytorialnego.
Celem kierunku rewizja finansowa jest przekazanie studentom aktualnej wiedzy teoretycznej i praktycznych umiejętności, niezbędnych do wykonywania zawodu biegłego rewidenta. W toku studiów studenci uzyskują kompetencje niezbędne w analizie danych finansowych, pozyskiwaniu informacji z ustrukturyzowanych baz danych (XML, XBRL), obsłudze wybranych programów finansowo-księgowych, obsłudze wybranych programów do badania sprawozdań finansowych, a także z elementami makro- i mikroekonomii, statystyki i ekonometrii.
Absolwenci kierunku rewizja finansowa mogą kontynuować ścieżkę prowadzącą do uzyskania tytułu biegłego rewidenta (praktyka, aplikacja, egzamin dyplomowy przed komisją PIBR) lub zostać zatrudnieni przez firmy audytorskie oraz doradcze, międzynarodowe korporacje, biura rachunkowe, urzędy skarbowe, jednostki sektora finansów publicznych, w tym jednostki samorządowe. Mogą również otworzyć własną działalność gospodarczą w zakresie badania sprawozdań finansowych i prowadzenia ksiąg rachunkowych.
Nowe i zmodyfikowane kierunki na studiach stacjonarnych II stopnia na UEP!","O przyjęcie na studia drugiego stopnia na kierunek rewizja finansowa mogą ubiegać się absolwenci publicznych i niepublicznych szkół wyższych, którzy legitymują się dyplomem ukończenia studiów pierwszego stopnia, drugiego stopnia, studiów jednolitych magisterskich lub równorzędnych z dziedziny nauk społecznych w dyscyplinach ekonomia i finanse, nauki o zarządzaniu i jakości oraz nauki prawne.
Przyjęcie kandydatów na kierunek rewizja finansowa odbywa się w kolejności według największej liczby punktów uzyskanych w postępowaniu rekrutacyjnym, liczonych według wzoru:
50% średnia ocen + 50% punkty z testu
gdzie: średnia ocen – oznacza średnią ocen z ukończonych studiów uprawniających do ubiegania się o przyjęcie na kierunek rewizja finansowa , punkty z testu – oznaczają punkty z testu kwalifikacyjnego, weryfikującego ogólną wiedzę z zakresu rachunkowości.
Uzyskany wynik zaokrąglany jest do dwóch miejsc po przecinku.
Szczegółowe zasady rekrutacji na studia w roku akademickim 2025/2026.
Rekrutacja zostanie uruchomiona po 20 maja 2025 r. – ZAPISZ SIĘ ONLINE",Na kierunku rewizja finansowa nie są oferowane specjalności.,"Szczegółowe programy studiów prowadzonych w Uniwersytecie Ekonomicznym w Poznaniu dostępne są na stronie systemu Sylabus UEP. Programy studiów dla cyklu rozpoczynającego się od roku akademickiego 2025/2026 zostaną opublikowane w kwietniu 2025 roku.
System Sylabus UEP"
Studia II stopnia stacjonarne,Transition Innovation And Sustainability Environments,"Transition, Innovation and Sustainability Environments
Kierunek Transition, Innovation and Sustainability Environments ( TISE ) to unikatowy, transdyscyplinarny, innowacyjny i prestiżowy program akademicki skoncentrowany na systemach społecznych w transformacji. Jego ukończenie pozwoli na uzyskanie wspólnego dyplomu czterech uczelni, współprowadzących zajęcia: Donau-Universität Krems (Austria), Universidade Nova de Lisboa (Portugalia), University College Dublin (Irlandia) oraz Uniwersytet Ekonomiczny w Poznaniu. Studenci poznają zasady działania i transformacji systemów społecznych, ich dynamikę oraz interakcje w zakresie nauki, technologii, etyki i ekonomii. Program wykorzystuje innowacyjne metody nauczania oraz szerokie instrumentarium, pozwalające analizować złożone problemy społeczno-gospodarcze oraz opracowywać wielowymiarowe strategie zrównoważonego rozwoju globalnej gospodarki.
Wyróżniki kierunku:
anglojęzyczne studia na 4 europejskich uczelniach w 4 krajach, w każdym kraju realizowany jest jeden semestr studiów, zakończone wspólnym dyplomem, holistyczne i transdyscyplinarne podejście do analizy problemów społecznych i gospodarczych, duży nacisk na aplikacyjność zdobytej wiedzy, współpraca z praktyką gospodarczą, innowacyjne metody nauki i nauczania, ciekawe przedmioty dydaktyczne.","Transition, Innovation and Sustainability Environments
Rekrutacja na studia prowadzona przez Donau-Universität Krems (Austria).
O przyjęcie na anglojęzyczne studia drugiego stopnia na kierunku Transition, Innovation and Sustainability Environments mogą się ubiegać absolwenci szkół wyższych, którzy legitymują się dyplomem ukończenia studiów pierwszego stopnia na poziomie co najmniej trzyletnich studiów licencjackich i uzyskali efekty uczenia się, którym przypisano co najmniej 180 punktów ECTS. Jeżeli kandydat posiada dyplom ukończenia studiów pierwszego stopnia wydany w kraju, w którym nie jest stosowany system punków ECTS, musi posiadać dokument potwierdzający ukończenie studiów i uzyskanie tytułu równoważnego co najmniej tytułowi zawodowemu licencjata. Decyzję w sprawie uznania dyplomu podejmuje Konsorcjum TISE.
Rekrutacja na studia prowadzone w języku angielskim – dowiedz się więcej .
Rejestracja Donau-Universität Krems (Austria) – dowiedz się więcej .","Transition, Innovation and Sustainability Environments
Na kierunku Transition, Innovation and Sustainability Environments nie są oferowane specjalności.","Transition, Innovation and Sustainability Environments
Szczegółowe programy studiów prowadzonych w Uniwersytecie Ekonomicznym w Poznaniu dostępne są na stronie systemu Sylabus UEP. Programy studiów dla cyklu rozpoczynającego się od roku akademickiego 2025/2026 zostaną opublikowane w kwietniu 2025 roku.
System Sylabus UEP"
Studia II stopnia stacjonarne,Zarzadzanie,"Zarządzanie
Główne cele kształcenia na kierunku zarządzanie to:
przekazanie pogłębionej wiedzy studentom i ukształtowanie ich umiejętności w zakresie zarządzania różnymi obszarami działalności organizacji, jak i całą organizacją, zapoznanie studentów z kierunkami rozwoju koncepcji zarządzania, podkreślenie roli lidera oraz zespołowego podejścia do budowania i kształtowania nowoczesnych koncepcji zarządzania współczesnym przedsiębiorstwem, przekazanie wiedzy i umiejętności z zakresu oceny sytuacji ekonomicznej przedsiębiorstwa, a także z zakresu nowoczesnych technik kreowania wartości oraz metod wyceny przedsiębiorstwa, wskazanie zewnętrznych i wewnętrznych podstaw wyborów strategicznych w przedsiębiorstwie, przedstawienie praktycznego podejścia do formułowania opcji i wyboru opcji strategicznych, zapoznanie studentów ze znaczeniem strategii marketingowej w rozwoju przedsiębiorstwa, ukazanie podstawowych mechanizmów w obszarze gospodarowania nieruchomościami oraz poszczególnych zakresów tego gospodarowania, przekazanie studentom wiedzy z zakresu nowego zarządzania publicznego, ukazanie roli podmiotów publicznych i niepublicznych w kształtowaniu rozwoju.
Kształcenie na kierunku zarządzanie wiąże się z doskonaleniem kluczowych umiejętności i kompetencji menedżerskich, niezbędnych w procesie zarządzania i budowania wartości organizacji.
Absolwent studiów drugiego stopnia na kierunku zarządzanie będzie przygotowany do pracy na stanowiskach:
specjalistycznych w systemie zarządzania (w szczególności analityka i projektanta systemów organizacji i zarządzania), menedżerów średniego i wyższego szczebla, doradców i konsultantów w organizacjach o charakterze gospodarczym lub publicznym, a także do prowadzenia własnej działalności.","Zarządzanie
O przyjęcie na studia drugiego stopnia na kierunek zarządzanie mogą się ubiegać absolwenci publicznych i niepublicznych szkół wyższych, którzy legitymują się dyplomem ukończenia studiów pierwszego stopnia, drugiego stopnia, jednolitych studiów magisterskich lub równorzędnych.
Przyjęcie kandydatów na kierunek zarządzanie odbywa się w kolejności według najwyższej średniej ocen z ukończonych studiów pierwszego stopnia, drugiego stopnia, jednolitych studiów magisterskich lub równorzędnych.
Szczegółowe zasady rekrutacji na studia w roku akademickim 2025/2026.
Rekrutacja zostanie uruchomiona po 20 maja 2025 r. – ZAPISZ SIĘ ONLINE","Zarządzanie
Na kierunku oferowane są cztery specjalności:
wycena nieruchomości, zarządzanie inwestycjami i nieruchomościami, zarządzanie projektami, zarządzanie przedsiębiorstwami.
Kandydaci ubiegają się o przyjęcie na kierunek studiów. Uruchomienie określonej specjalności zależy od liczby studentów, którzy w trakcie studiów zadeklarują wolę studiowania na danej specjalności.","Zarządzanie
Szczegółowe programy studiów prowadzonych w Uniwersytecie Ekonomicznym w Poznaniu dostępne są na stronie systemu Sylabus UEP. Programy studiów dla cyklu rozpoczynającego się od roku akademickiego 2025/2026 zostaną opublikowane w kwietniu 2025 roku.
System Sylabus UEP"
Studia II stopnia stacjonarne,Zrownowazone Zarzadzanie Kapitalem Ludzkim,"Zrównoważone zarządzanie kapitałem ludzkim to kierunek studiów przygotowujący absolwentów do strategicznej roli w transformacji organizacji w kierunku zrównoważonego rozwoju. Program integruje bazowe treści z zakresu zarządzania zasobami ludzkimi z kompetencjami analitycznymi i umiejętnościami związanymi z raportowaniem niefinansowym w obszarze ujawnień społecznych.
Absolwenci kierunku będą przygotowani do:
• projektowania i wdrażania strategii HR wspierających zrównoważony rozwój organizacji, • prowadzenia zaawansowanej analityki HR i podejmowania decyzji w oparciu o dane wykorzystując współczesne narzędzia i metodologie, • zarządzania procesami analizy należytej staranności w obszarze pracowniczym, w tym identyfikacji ryzyk i szans związanych z kapitałem ludzkim w całym łańcuchu wartości, • budowania włączającej kultury organizacyjnej i wdrażania programów DEI (Diversity, Equity & Inclusion) z uwzględnieniem współczesnych wyzwań demograficznych i społecznych, • kierowania projektami transformacji organizacyjnej z wykorzystaniem metodyk zwinnych i partycypacyjnego podejścia do zarządzania zmianą.
Absolwenci znajdą zatrudnienie jako strategiczni partnerzy biznesowi w działach HR, specjaliści ds. ESG i zrównoważonego rozwoju, analitycy HR, eksperci ds. transformacji organizacyjnej oraz konsultanci w obszarze zarządzania kapitałem ludzkim. Program przygotowuje również do samodzielnego prowadzenia projektów wdrożeniowych i badawczo-rozwojowych w obszarze zrównoważonego zarządzania kapitałem ludzkim.
Nowe i zmodyfikowane kierunki na studiach stacjonarnych II stopnia na UEP!","Zrównoważone zarządzanie kapitałem ludzkim
O przyjęcie na studia drugiego stopnia na kierunek zrównoważone zarządzanie kapitałem ludzkim mogą ubiegać się absolwenci publicznych i niepublicznych szkół wyższych, którzy legitymują się dyplomem ukończenia studiów pierwszego stopnia, drugiego stopnia, jednolitych studiów magisterskich lub równorzędnych.
Przyjęcie kandydatów na kierunek zrównoważone zarządzanie kapitałem ludzkim odbywa się w kolejności według największej liczby punktów uzyskanych w postępowaniu rekrutacyjnym, liczonych według wzoru:
60% średnia ocen + 40% punkty z testu
gdzie: średnia ocen – oznacza średnią ocen z ukończonych studiów uprawniających do ubiegania się o przyjęcie na kierunek zrównoważone zarządzanie kapitałem ludzkim , punkty z testu – oznaczają punkty z testu kwalifikacyjnego, weryfikującego ogólną wiedzę z zakresu zarządzania, ekonomii i zarządzania zasobami ludzkimi.
Uzyskany wynik zaokrąglany jest do dwóch miejsc po przecinku.
Szczegółowe zasady rekrutacji na studia w roku akademickim 2025/2026.
Rekrutacja zostanie uruchomiona po 20 maja 2025 r. – ZAPISZ SIĘ ONLINE","Zrównoważone zarządzanie kapitałem ludzkim
Na kierunku zrównoważone zarządzanie kapitałem ludzkim nie są oferowane specjalności.","Zrównoważone zarządzanie kapitałem ludzkim
Szczegółowe programy studiów prowadzonych w Uniwersytecie Ekonomicznym w Poznaniu dostępne są na stronie systemu Sylabus UEP. Programy studiów dla cyklu rozpoczynającego się od roku akademickiego 2025/2026 zostaną opublikowane w kwietniu 2025 roku.
System Sylabus UEP"
Studia II stopnia niestacjonarne,Design I Komercjalizacja Produktu,"Studia magisterskie na kierunku design i komercjalizacja produktu zapewniają solidne podstawy do rozwoju kreatywności i umiejętności skutecznej implementacji wypracowanych pomysłów. W toku zróżnicowanych zajęć studenci nabywają kompetencje umożliwiające efektywną i twórczą pracę oraz rozwijanie idei nowych produktów żywnościowych oraz nieżywnościowych w oparciu o niezbędną wiedzę technologiczną, rynkową i organizacyjną. Studia są bardzo dobrym uzupełnieniem wcześniejszego etapu kształcenia w zakresie nauk o jakości, ale także interesującą ofertą dydaktyczną poszerzającą kompetencje absolwentów innych kierunków studiów.
Studenci mają możliwość opanowania umiejętności kreowania wartości użytkowej, estetycznej i marketingowej nowych produktów, budowania i implementacji strategii produktu/marki, rozwoju innowacji i efektywnego wykorzystywania dostępnych zasobów. Program studiów odnosi się również do kwestii zarządzania i oceny jakości produktów, opanowania standardowych i innowacyjnych metod badań, które pozwolą ocenić zarówno produkty żywnościowe, jak i nieżywnościowe.","O przyjęcie na studia drugiego stopnia na kierunek design i komercjalizacja produktu mogą się ubiegać absolwenci publicznych i niepublicznych szkół wyższych, którzy legitymują się dyplomem ukończenia studiów pierwszego stopnia, drugiego stopnia, jednolitych studiów magisterskich lub równorzędnych.
Przyjęcie kandydatów na kierunek design i komercjalizacja produktu odbywa się w kolejności według najwyższej średniej ocen z ukończonych studiów pierwszego stopnia, drugiego stopnia, jednolitych studiów magisterskich lub równorzędnych.
Szczegółowe zasady rekrutacji na studia w roku akademickim 2025/2026.
Rekrutacja zostanie uruchomiona po 14 lipca 2025 r. – ZAPISZ SIĘ ONLINE",Na kierunku design i komercjalizacja produktu nie są oferowane specjalności.,"Szczegółowe programy studiów prowadzonych w Uniwersytecie Ekonomicznym w Poznaniu dostępne są na stronie systemu Sylabus UEP. Programy studiów dla cyklu rozpoczynającego się od roku akademickiego 2025/2026 zostaną opublikowane w kwietniu 2025 roku.
System Sylabus UEP"
Studia II stopnia niestacjonarne,Ekonomia,"Studia drugiego stopnia na kierunku ekonomia oferują pogłębienie wiedzy z obszaru ekonomii i finansów oraz nauk o zarządzaniu i jakości. Program jest tak skonstruowany, aby spełniał oczekiwania studentów co do praktycznego wymiaru realizowanych  treści.
Absolwent studiów drugiego stopnia na kierunku ekonomia jest profesjonalnie przygotowany do budowy scenariuszy zmian sytuacji ekonomicznej oraz analizy uwarunkowań i ograniczeń wpływających na możliwość dokonywania właściwych wyborów na różnych szczeblach decyzyjnych, zarówno w sektorze prywatnym, jak i publicznym. Wykazuje także zdolność do współpracy w zespołach oraz pogłębiania wiedzy oraz działania zgodnie ze standardami etyki biznesu.","O przyjęcie na studia drugiego stopnia na kierunek ekonomia mogą się ubiegać absolwenci publicznych i niepublicznych szkół wyższych, którzy legitymują się dyplomem ukończenia studiów pierwszego stopnia, drugiego stopnia, jednolitych studiów magisterskich lub równorzędnych.
Przyjęcie kandydatów na kierunek ekonomia odbywa się w kolejności według najwyższej średniej ocen z ukończonych studiów pierwszego stopnia, drugiego stopnia, jednolitych studiów magisterskich lub równorzędnych.
Szczegółowe zasady rekrutacji na studia w roku akademickim 2025/2026.
Rekrutacja zostanie uruchomiona po 14 lipca 2025 r. – ZAPISZ SIĘ ONLINE",Na kierunku ekonomia nie są oferowane specjalności.,"Szczegółowe programy studiów prowadzonych w Uniwersytecie Ekonomicznym w Poznaniu dostępne są na stronie systemu Sylabus UEP. Programy studiów dla cyklu rozpoczynającego się od roku akademickiego 2025/2026 zostaną opublikowane w kwietniu 2025 roku.
System Sylabus UEP"
